match_id,league_name,match_time,home_team,away_team,final_score,bookmaker,init_win,init_draw,init_lose,final_win,final_draw,final_lose
2027896,英格兰超级联赛,2021-11-07T22:00:00,阿森纳,沃特福德,1-0,Bet 365,1.5,4.33,6.5,1.44,4.75,6.5
2027896,英格兰超级联赛,2021-11-07T22:00:00,阿森纳,沃特福德,1-0,Easybets,1.42,4.7,8,1.44,4.8,7.2
2027896,英格兰超级联赛,2021-11-07T22:00:00,阿森纳,沃特福德,1-0,Macauslot,1.33,4.65,7.2,1.33,4.65,7.2
2027896,英格兰超级联赛,2021-11-07T22:00:00,阿森纳,沃特福德,1-0,William Hill,1.5,4.4,6.5,1.44,4.5,8
2027902,英格兰超级联赛,2021-11-21T01:30:00,利物浦,阿森纳,4-0,Bet 365,1.44,4.75,6,1.5,4.75,5.75
2027902,英格兰超级联赛,2021-11-21T01:30:00,利物浦,阿森纳,4-0,Easybets,1.46,4.7,7,1.53,4.7,5.6
2027902,英格兰超级联赛,2021-11-21T01:30:00,利物浦,阿森纳,4-0,Lottery Official,1.36,4.35,5.75,1.32,4.5,6.25
2027902,英格兰超级联赛,2021-11-21T01:30:00,利物浦,阿森纳,4-0,Macauslot,1.35,4.65,6.5,1.4,4.65,5.55
2027902,英格兰超级联赛,2021-11-21T01:30:00,利物浦,阿森纳,4-0,William Hill,1.44,4.6,7,1.44,4.6,6.5
2028098,英格兰超级联赛,2022-04-02T22:00:00,布莱顿,诺维奇,0-0,Bet 365,1.57,3.8,6,1.5,4.2,7
2028098,英格兰超级联赛,2022-04-02T22:00:00,布莱顿,诺维奇,0-0,Easybets,1.47,4.2,8,1.5,4.2,7.4
2028098,英格兰超级联赛,2022-04-02T22:00:00,布莱顿,诺维奇,0-0,Macauslot,1.38,3.97,7.6,1.38,3.97,7.6
2028098,英格兰超级联赛,2022-04-02T22:00:00,布莱顿,诺维奇,0-0,William Hill,1.55,3.9,6.5,1.44,4.2,8
